station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
38560,99999,1930,9,1,61,4,56.5,4,1025.699951,4,,,9.300000191,4,11,4,13,,55,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1930,11,18,42.5,4,38.5,4,1015.700012,4,,,3.400000095,4,16,4,23.89999962,,39.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31590,99999,1930,11,10,45.70000076,4,40,4,1019.099976,4,,,10.89999962,4,19.5,4,23.89999962,,45,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1930,7,30,58,4,54.29999924,4,1007.700012,4,,,4,4,17,4,23.89999962,,55.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1930,8,11,61.29999924,4,59.29999924,4,1015.200012,4,,,2.599999905,4,10,4,13,,60.09999847,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1930,7,14,56.59999847,5,48,4,1012.599976,5,,,12.39999962,5,16,5,18.10000038,,55,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1930,8,15,58.20000076,5,55.5,4,1017.5,5,,,8.5,5,13,5,13,,55.90000153,FALSE,,,0.03999999911,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1930,2,21,39.79999924,5,36,4,1028.400024,5,,,4.699999809,5,2.599999905,5,5.099999905,,35.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32620,99999,1930,12,12,40.20000076,5,39,4,997,5,,,3.5,5,2.599999905,5,5.099999905,,34,FALSE,,,0.4699999988,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39800,99999,1930,9,11,52.20000076,5,,,1014.299988,5,,,0.6000000238,5,3.200000048,5,5.099999905,,46,FALSE,,,0.01999999955,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39530,99999,1930,8,8,56.40000153,5,55,4,1017.599976,5,,,8,5,10.80000019,5,18.10000038,,52,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32620,99999,1930,10,24,44.20000076,5,39.79999924,4,996.0999756,5,,,5.199999809,5,8.399999619,5,18.10000038,,39.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34970,99999,1930,10,18,56.79999924,5,53.09999847,4,1009.900024,5,,,3.200000048,5,9.800000191,5,13,,55,FALSE,,,0.1199999973,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1930,12,23,47.79999924,5,46.79999924,4,1020.700012,5,,,7.199999809,5,12.39999962,5,18.10000038,,46.90000153,FALSE,,,0.07999999821,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38040,99999,1930,1,8,44.20000076,5,39.20000076,4,1010.200012,5,,,16.20000076,5,15.60000038,5,23.89999962,,42.09999847,TRUE,,,0.1199999973,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34970,99999,1930,2,12,41.59999847,5,38.29999924,4,1031.599976,5,,,6.199999809,5,10.60000038,5,13,,39,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1931,12,6,45.5,4,39.20000076,4,1005.099976,4,,,10.89999962,4,22.20000076,4,36.90000153,,44.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30050,99999,1931,5,8,46.29999924,4,,,1021.599976,4,,,14,4,8.899999619,4,8.899999619,,44.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37770,99999,1931,10,1,56,4,51.5,4,1013,4,,,1.700000048,4,8,4,8.899999619,,50,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,9,3,54,4,53,4,999.4000244,4,,,1.600000024,4,3.5,4,5.099999905,,51.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37950,99999,1931,6,25,52.70000076,4,42.79999924,4,1026.099976,4,,,17.10000038,4,14.30000019,4,18.10000038,,42.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1931,10,21,42.20000076,4,32.70000076,4,1023.299988,4,,,4,4,5.199999809,4,8.899999619,,30.89999962,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37950,99999,1931,10,16,53.79999924,4,50.5,4,1032.199951,4,,,8.399999619,4,10,4,13,,45,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1931,1,15,47.70000076,4,46,4,1019.700012,4,,,9.300000191,4,10,4,13,,42.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
267020,99999,1931,1,15,31.70000076,4,30.29999924,4,1007.200012,4,,,1.899999976,4,11.19999981,4,18.10000038,,27,TRUE,,,0.05999999866,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1931,8,22,52.5,4,43.70000076,4,1012.700012,4,,,21.70000076,4,12,4,13,,51.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37770,99999,1931,3,9,26.5,4,23,4,1006.5,4,,,0.6999999881,4,5.5,4,13,,23,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38040,99999,1931,5,14,53,4,51.29999924,4,1012.799988,4,,,3.400000095,4,19.5,4,23.89999962,,50,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38110,99999,1931,2,18,38.79999924,4,29.29999924,4,1012.099976,4,,,10.89999962,4,24.20000076,4,29.89999962,,34,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38110,99999,1931,4,15,49,4,45.5,4,1026.099976,4,,,9.300000191,4,11.60000038,4,18.10000038,,46.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,9,21,48.70000076,4,43.5,4,1031.699951,4,,,4.300000191,4,11,4,13,,43,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1931,11,14,50.29999924,4,43.29999924,4,1008.5,4,,,9.899999619,4,13.5,4,18.10000038,,46.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,4,15,47.29999924,4,43,4,1020.099976,4,,,3.400000095,4,7,4,8.899999619,,44.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1931,2,17,38.40000153,4,36,4,1007.400024,4,,,12.39999962,4,11.19999981,4,18.10000038,,34,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1931,8,26,55.79999924,4,49.79999924,4,1026.599976,4,,,4,4,7,4,8.899999619,,50,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122050,99999,1931,5,24,76.5,4,59,4,1020.5,4,,,31.10000038,4,2.200000048,4,5.099999905,,73,TRUE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38560,99999,1931,9,10,54.5,4,48.5,4,1018.299988,4,,,5.300000191,4,9,4,13,,50,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31590,99999,1931,10,19,49.29999924,4,47.5,4,1024.800049,4,,,2.599999905,4,7.199999809,4,13,,45,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104100,99999,1931,9,12,47.5,4,44.79999924,4,1017.5,4,,,1.399999976,4,4.5,4,8.899999619,,39,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39730,99999,1931,1,5,40.70000076,4,38.29999924,4,1019,4,,,12.39999962,4,1,4,1.899999976,,36,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1931,6,22,63.5,4,57,4,1021.200012,4,,,6.800000191,4,8,4,8.899999619,,54,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,8,13,57.5,4,54.70000076,4,1014.599976,4,,,5.300000191,4,5.199999809,4,8.899999619,,55,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1931,11,10,52,4,48.70000076,4,965.5,4,,,10.89999962,4,18.29999924,4,23.89999962,,48.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
267020,99999,1931,2,21,34.70000076,4,31.60000038,4,1014.900024,4,,,5.300000191,4,16.79999924,4,18.10000038,,32,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1931,12,6,37,4,36,4,995.0999756,4,,,12.39999962,4,8,4,8.899999619,,35.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122050,99999,1931,5,7,68,4,53.5,4,1010,4,,,15.5,4,4.5,4,8.899999619,,54,FALSE,,,0.03999999911,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1931,9,30,55.20000076,4,51,4,1007.200012,4,,,5.900000095,4,15.80000019,4,18.10000038,,54,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1931,2,12,39,4,35,4,989.4000244,4,,,6.199999809,4,30.20000076,4,36.90000153,,35.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1931,6,2,49,4,48,4,1012.700012,4,,,3.700000048,4,14.30000019,4,18.10000038,,48,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1931,8,23,47.90000153,4,44,4,1010,4,,,12.39999962,4,11,4,13,,42.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1931,6,13,57,4,55,4,1018.5,4,,,8.399999619,4,5.699999809,4,8.899999619,,51.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37950,99999,1931,5,12,53.79999924,4,50.90000153,4,1021.5,4,,,4,4,6.199999809,4,8.899999619,,48,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39530,99999,1931,3,11,42.5,4,34,4,1017.5,4,,,17.10000038,4,10,4,13,,37,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34970,99999,1931,5,9,48.5,4,43.20000076,4,1021.700012,4,,,4.300000191,4,12,4,13,,45,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31590,99999,1931,3,17,40,4,32.70000076,4,1015.400024,4,,,7.5,4,8,4,8.899999619,,33.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1931,1,20,47.79999924,4,46,4,1017.299988,4,,,5,4,8,4,8.899999619,,44.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1931,6,18,54.5,4,52.70000076,4,1010.5,4,,,6.800000191,4,14.30000019,4,18.10000038,,53.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1931,12,15,51.09999847,4,46.5,4,1024.5,4,,,7.800000191,4,6,4,8.899999619,,46.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31590,99999,1931,10,29,41,4,39.20000076,4,1016,4,,,8.100000381,4,4.300000191,4,5.099999905,,39,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1931,12,17,41,4,37,4,1035.5,4,,,7.800000191,4,7.199999809,4,13,,39,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,8,30,57.20000076,4,51.79999924,4,1020,4,,,8.399999619,4,10,4,13,,46.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121160,99999,1931,3,1,31.5,4,29,4,979.0999756,4,,,2.799999952,4,30.39999962,4,43.90000153,,30,TRUE,,,0.3899999857,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1931,2,6,45.79999924,4,44.70000076,4,1008.099976,4,,,2.200000048,4,9.199999809,4,13,,45,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1931,1,24,41,4,35.5,4,988.5,4,,,7.800000191,4,19.70000076,4,23.89999962,,37.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1931,1,12,42.79999924,4,40.20000076,4,1007.799988,4,,,10.89999962,4,8,4,8.899999619,,39.90000153,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1931,10,31,51.59999847,5,46,4,1028.900024,5,,,6.199999809,5,5.099999905,5,5.099999905,,48,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39730,99999,1931,3,9,36.20000076,5,32.20000076,4,1013.799988,5,,,12.39999962,5,18.60000038,5,23.89999962,,33.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122050,99999,1931,10,1,50,5,45,5,1019.900024,5,,,23.60000038,5,5.400000095,5,8.899999619,,37,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122050,99999,1931,4,16,42,5,31,5,1017.200012,5,,,11.19999981,5,1.899999976,5,1.899999976,,30,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38040,99999,1931,12,19,45.59999847,5,39.70000076,4,1038.199951,5,,,8.699999809,5,12.19999981,5,13,,43,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32620,99999,1931,8,2,57.79999924,5,54.5,4,1020,5,,,6.699999809,5,4.800000191,5,8.899999619,,57,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1931,10,29,48.59999847,5,47.79999924,4,1016,5,,,5.5,5,8.800000191,5,18.10000038,,45,FALSE,,,0.07999999821,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122050,99999,1931,10,29,36.40000153,5,34.79999924,5,1005.799988,5,,,1.600000024,5,7.599999905,5,13,,30,FALSE,,,0.1000000015,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1931,2,22,39.79999924,5,39,4,1010.5,5,,,8.699999809,5,9.800000191,5,13,,33.09999847,FALSE,,,0.2399999946,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1931,6,1,54.59999847,5,52.20000076,4,1010.599976,5,,,9.899999619,5,7.400000095,5,8.899999619,,51.09999847,FALSE,,,0.2399999946,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30260,99999,1931,7,7,54.59999847,5,53.5,4,1007.599976,5,,,4,5,2.599999905,5,8.899999619,,53.09999847,FALSE,,,0.2800000012,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39730,99999,1931,3,18,46.79999924,5,43.20000076,4,1001.299988,5,,,6.199999809,5,19.5,5,23.89999962,,42.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103840,99999,1931,12,16,33.40000153,5,27.39999962,5,1017.700012,5,,,9.899999619,5,12.19999981,5,18.10000038,,30,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
